id,title,authority,country,region,topic,document_type,date,year,month,sentiment,sentiment_score,risk_level,risk_score,document_length,confidence_score,status,content,url,language,tags
371,Illinois HB 3563,Illinois,United States,State governments,U.S. state and local documents,State/Local Law or Policy,2023-08-04,2023,8,positive,0.9524,low,0.0,242,0.5,Enacted,"AN ACT concerning State government. Be it enacted by the People of the State of Illinois, represented in the General Assembly: Section 5. The Department of Innovation and Technology Act is amended by adding Section 1-80 as follows: (20 ILCS 1370/1-80 new) Sec. 1-80. Generative AI and Natural Language Processing Task Force. (a) As used in this Section, ""Task Force"" means the Generative AI and Natural Language Processing Task Force established by this Section. (b) The Department shall establish the Generative AI and Natural Language Processing Task Force. The Task Force shall investigate and provide a report on generative artificial intelligence software and natural language processing software. (c) The Task Force shall be composed of all of the following members: (1) One member appointed by the Speaker of the House of Representatives, who shall serve as a co-chairperson. (2) One member appointed by the Minority Leader of the House of Representatives. (3) One member appointed by the President of the Senate, who shall serve as a co-chairperson. (4) One member appointed by the Minority Leader of the Senate. (5) The Secretary of the Department of Innovation and Technology or his or her designee. (6) The State Superintendent of Education or his or her designee. (7) The Executive Director of the Illinois Community College Board or his or her designee. (8) The Executive Director of the Board of Higher Education or his or her designee. (9) Two teachers recommended by a statewide assoc",https://ilga.gov/legislation/103/HB/PDF/10300HB3563lv.pdf,en,
374,New York A7838,New York,United States,State governments,U.S. state and local documents,State/Local Law or Policy,2023-07-07,2023,7,positive,0.743,low,0.0,232,0.7,Proposed,"7838 2023-2024 Regular Sessions IN ASSEMBLY July 7, 2023 Introduced by M. of A. CUNNINGHAM -- read once and referred to the Committee on Labor AN ACT in relation to requiring the department of labor to study the long-term impact of artificial intelligence on the state workforce THE PEOPLE OF THE STATE OF NEW YORK, REPRESENTED IN SENATE AND ASSEMBLY, DO ENACT AS FOLLOWS: Section 1. 1. No later than six months after the effective date of this act, the department of labor, in consultation with the department of civil service and the office of information technology services, shall begin a study on the long-term impact of artificial intelligence on the state workforce including but not limited to job performance, productivity, training, education requirements, privacy and security. The department shall issue an interim report on its current findings and recommendations for legislative action every five years and shall issue a final report and recommendations for legislative action no later than January 1, 2035. The department shall issue its reports and recommendations to the governor, the speaker of the assembly, the minority leader of the assembly, the temporary president of the senate, and the minority leader of the senate. 1. Until the final report and recommendations are received pursuant to subdivision 1 of this section, every state department, board, bureau, division, commission, committee, public authority, public corporation, council, office or other governmental entity",https://www.nysenate.gov/legislation/bills/2023/A7838,en,"Strategies: Government study or report, Strategies: Evaluation, Strategies: Evaluation: Impact assessment, Applications: Government: other applications/unspecified"
375,North Carolina SB 460,North Carolina,United States,State governments,U.S. state and local documents,State/Local Law or Policy,2023-03-30,2023,3,positive,0.2048,low,0.0,218,0.5,Proposed,"GENERAL ASSEMBLY OF NORTH CAROLINA SESSION 2023 SENATE BILL DRS35175-LR-26 Short Title: Study Automation and the Workforce Sponsors: Senators Salvador, Lowe, and Murdock (Primary Sponsors) A BILL TO BE ENTITLED AN ACT TO ESTABLISH THE STUDY COMMITTEE ON AUTOMATION AND THE WORKFORCE. The General Assembly of North Carolina enacts: SECTION 1. The General Assembly finds that: (1) Automation during the twentieth century resulted in new job opportunities for some, but it also rendered other jobs obsolete, affecting many low-income workers. (2) Continued automation into the twenty-first century has resulted in the further diminishment of employment opportunities for some workers, especially workers who lack computer skills or are disadvantaged by social inequities or the digital divide. (3) A comprehensive review of the current and future effects of automation on the State's workforce will provide government officials, and education and business leaders, with the information and insight necessary to guide the State toward mitigating negative effects of automation on workers. This is especially true in the case of low-income and minority workers. SECTION 2. (a) Committee Established. – There is established the Study Committee on Automation and the Workforce (Committee). The Committee shall include 11 voting members, as follows: (1) Two persons representing labor organizations or nonprofit organizations engaged in workforce development efforts in this State, appointed by the Governor.",https://webservices.ncleg.gov/ViewBillDocument/2023/2915/0/DRS35175-LR-26,en,
376,Pennsylvania HB 49,Pennsylvania,United States,State governments,U.S. state and local documents,State/Local Law or Policy,2023-03-07,2023,3,positive,0.93,low,0.0,212,0.5,Proposed,"THE GENERAL ASSEMBLY OF PENNSYLVANIA HOUSE BILL No. 49 Session of 2023 INTRODUCED BY MERCURI, ARMANINI, COOK, SCHLEGEL CULVER, FLICK, JAMES, JOZWIAK, PICKETT AND SMITH, MARCH 7, 2023 REFERRED TO COMMITTEE ON COMMERCE, MARCH 7, 2023 AN ACT Amending the act of April 9, 1929 (P.L.177, No.175), entitled ""An act providing for and reorganizing the conduct of the executive and administrative work of the Commonwealth by the Executive Department thereof and the administrative departments, boards, commissions, and officers thereof, including the boards of trustees of State Normal Schools, or Teachers Colleges; abolishing, creating, reorganizing or authorizing the reorganization of certain administrative departments, boards, and commissions; defining the powers and duties of the Governor and other executive and administrative officers, and of the several administrative departments, boards, commissions, and officers; fixing the salaries of the Governor, Lieutenant Governor, and certain other executive and administrative officers; providing for the appointment of certain administrative officers, and of all deputies and other assistants and employes in certain departments, boards, and commissions; providing for judicial administration; and prescribing the manner in which the number and compensation of the deputies and all other assistants and employes of certain departments, boards and commissions shall be determined,"" in powers and duties of the Department of State and its departmental ad",https://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=0049&pn=0038,en,
377,Pennsylvania HR 170,Pennsylvania,United States,State governments,U.S. state and local documents,State/Local Law or Policy,2023-06-29,2023,6,positive,0.9393,low,0.1111,221,0.7,Proposed,"THE GENERAL ASSEMBLY OF PENNSYLVANIA HOUSE RESOLUTION No. 170 Session of 2023 INTRODUCED BY MERSKI, PIELLI, MADDEN, NEILSON, GREEN, VENKAT, FRIEL, GERGELY, B. MILLER, SCHLOSSBERG, SANCHEZ, MALAGARI, JAMES, HOWARD, GALLAGHER, BRENNAN, HILL-EVANS, HARKINS, KHAN, DONAHUE, O'MARA, D. WILLIAMS AND CIRESI, JUNE 29, 2023 REFERRED TO COMMITTEE ON STATE GOVERNMENT, JUNE 29, 2023 A RESOLUTION Directing the Joint State Government Commission to establish an advisory committee to conduct a study on the field of artificial intelligence and its impact and potential future impact in Pennsylvania. WHEREAS, Artificial intelligence (AI) means models and systems performing functions generally associated with human intelligence, including reasoning and learning; and WHEREAS, Recent news stories and reports have shown the rapid acceleration of AI utilization across many different industries in this Commonwealth; and WHEREAS, While AI has the potential to be a tool to improve a variety of industries, many experts in the artificial intelligence field have been warning that we may be moving too quickly for comfort; and WHEREAS, The ""godfather of AI"" Geoffrey Hinton left his job at Google, where he developed AI programs, to ""blow the whistle"" on the dangers that artificial intelligence possess; and WHEREAS, It is important for the Commonwealth to take measures to study artificial intelligence's effect and impact; and WHEREAS, The automation of manufacturing and other jobs by artificial intelligence po",https://legiscan.com/PA/text/HR170/2023,en,"Strategies: Government study or report, Strategies: Governance development, Strategies: New institution, Strategies: Convening, Strategies: Evaluation, Harms: Detrimental content, Strategies: Government support, Strategies: Government support: AI workforce-related, Harms: Financial loss"
379,Pennsylvania HB 1380,Pennsylvania,United States,State governments,U.S. state and local documents,State/Local Law or Policy,2023-06-12,2023,6,positive,0.9169,low,0.0,221,0.5,Proposed,"THE GENERAL ASSEMBLY OF PENNSYLVANIA HOUSE BILL No. 1380 Session of 2023 INTRODUCED BY GROVE, GREINER, KEEFER, FLICK, MOUL AND STRUZZI, JUNE 12, 2023 REFERRED TO COMMITTEE ON HUMAN SERVICES, JUNE 12, 2023 AN ACT Amending the act of June 13, 1967 (P.L.31, No.21), entitled ""An act to consolidate, editorially revise, and codify the public welfare laws of the Commonwealth,"" in public assistance, further providing for administration of assistance programs. The General Assembly of the Commonwealth of Pennsylvania hereby enacts as follows: Section 1. Section 403.1 of the act of June 13, 1967 (P.L.31, No.21), known as the Human Services Code, is amended to read: Section 403.1. Administration of Assistance Programs. (a) The department is authorized to establish rules, regulations, procedures and standards consistent with law as to the administration of programs providing assistance, including regulations promulgated under subsection (d), that do any of the following: (1) Establish standards for determining eligibility and the nature and extent of assistance. (2) Authorize providers to condition the delivery of care or services on the payment of applicable copayments. (3) Modify existing benefits, establish benefit limits and exceptions to those limits, establish various benefit packages and offer different packages to different recipients, to meet the needs of the recipients. (4) Establish or revise provider payment rates or fee schedules, reimbursement models or payment methodologies",https://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1380&pn=1540,en,
380,Rhode Island SB 146,Rhode Island,United States,State governments,U.S. state and local documents,State/Local Law or Policy,2024-06-16,2024,6,positive,0.9239,low,0.1111,221,0.7,Defunct,"2023 -- S0146 STATE OF RHODE ISLAND IN GENERAL ASSEMBLY JANUARY SESSION, A.D. 2023 AN ACT RELATING TO STATE AFFAIRS AND GOVERNMENT -- VIDEO LOTTERY GAMES, TABLE GAMES AND SPORTS WAGERING -- THE RHODE ISLAND CONSUMER PROTECTION GAMING ACT Introduced By: Senators DiPalma, Felag, Gu, Acosta, Zurier, and Valverde Date Introduced: February 01, 2023 Referred To: Senate Special Legislation and Veterans Affairs It is enacted by the General Assembly as follows: SECTION 1. Chapter 42-61.2 of the General Laws entitled ""Video Lottery Games, Table Games and Sports Wagering"" is hereby amended by adding thereto the following section: 42-61.2-17. Prohibition on use of certain technology with video-lottery terminals and sports betting applications. (a) As used in this section, the following words shall have the following meanings unless the context clearly requires otherwise: (1) ""Algorithm"" means a specific procedure, set of rules, or order of operations designed to solve a problem or make a calculation, classification, or recommendation. (2) ""Artificial intelligence"" means computerized methods and tools, including, but not limited to, machine learning and natural language processing, that act in a way that resembles human cognitive abilities when it comes to solving problems or performing certain tasks. (3) ""Automated decision system"" means any computer program, method, statistical model, or process that aims to aid or replace human decision-making using algorithms or artificial intelligenc",https://legiscan.com/RI/text/S0146/2023,en,"Applications: Arts, sports, leisure, travel, and lifestyle, Risk factors: Privacy, Harms: Financial loss"
381,Alabama SB 78,Alabama,United States,State governments,U.S. state and local documents,State/Local Law or Policy,2021-04-29,2021,4,positive,0.9799,low,0.0,232,0.5,Enacted,"SB78 ENROLLED, An Act, To establish the Alabama Council on Advanced Technology and Artificial Intelligence to review and advise the Governor, the Legislature, and other interested parties on the use and development of advanced technology and artificial intelligence in this state. BE IT ENACTED BY THE LEGISLATURE OF ALABAMA: Section 1. (a) There is established the Alabama Council on Advanced Technology and Artificial Intelligence. (b) The council shall review and advise the Governor and the Legislature on all aspects of the use and development of advanced technology and artificial intelligence in this state. (c) The council shall be composed of the following members: (1) Fourteen members appointed by the Governor. (2) The Secretary of Commerce, or his or her designee. (3) The Secretary of Information Technology, or his or her designee. (4) Two members appointed by the Lieutenant Governor, at least one of whom shall be an employee, board member, or trustee of an Alabama public community college or a four-year public institution of higher education. (5) Two members of the Alabama House of Representatives appointed by the Speaker of the House. (6) Two members of the Alabama Senate appointed by the Senate President Pro Tempore. (d) All persons appointed to the council other than legislators shall have one or more of the following qualifications: Expertise in matters relating to artificial intelligence, workforce development, technology, ethics, privacy, or computer science. (e) Me",https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2021RS/PrintFiles/SB78-Enr.pdf,en,
384,Arkansas SB 656,Arkansas,United States,State governments,U.S. state and local documents,State/Local Law or Policy,2019-04-17,2019,4,positive,0.9714,low,0.0,228,0.7,Enacted,"State of Arkansas 92nd General Assembly Regular Session, 2019 By: Senator J. English For An Act To Be Entitled AN ACT TO CREATE THE DATA-SHARING AND DATA-DRIVEN DECISION-MAKING TASK FORCE; AND FOR OTHER PURPOSES. Subtitle TO CREATE THE DATA-SHARING AND DATA14 DRIVEN DECISION-MAKING TASK FORCE. BE IT ENACTED BY THE GENERAL ASSEMBLY OF THE STATE OF ARKANSAS: SECTION 1. TEMPORARY LANGUAGE. DO NOT CODIFY. Data-Sharing and Data20 Driven Decision-Making Task Force – Creation – Duties. (a) As used in this section, “state agency” means a cabinet, agency, institution, authority, department, board, commission, bureau, council, or other agency of the State of Arkansas supported by cash funds or an appropriation of state or federal funds. (b) The General Assembly finds that: (1) State agencies contain great amounts of valuable information and reports regarding all aspects of life for the citizens of this state, including without limitation health, business, public safety, labor, and transportation data; (2) The tremendous amount of data maintained by state agencies can result in the duplication of efforts, data, records, and parts of data and records that may result in the maintenance of inconsistent data and records concerning the same citizen; (3) The lack of a quick and efficient data-driven delivery system that would enable up-to-the-moment responses to legislative branch and executive branch inquiries impedes the policy-making process and ultimately costs the taxpayers money; (4) Pr",https://www.arkleg.state.ar.us/Home/FTPDocument?path=%2FACTS%2F2019R%2FPublic%2FACT943.pdf,en,"Strategies: New institution, Strategies: Convening, Strategies: Evaluation, Strategies: Government study or report, Applications: Government: benefits and welfare, Applications: Government: other applications/unspecified"
385,California SJR 6,California,United States,State governments,U.S. state and local documents,State/Local Law or Policy,2019-07-09,2019,7,positive,0.9911,low,0.0,220,0.5,Enacted,"Senate Joint Resolution No. 6 CHAPTER 112 Relative to artificial intelligence. [Filed with Secretary of State July 09, 2019.] LEGISLATIVE COUNSEL'S DIGEST SJR 6, Chang. Artificial intelligence. This measure would urge the President and the Congress of the United States to develop a comprehensive Artificial Intelligence Advisory Committee and to adopt a comprehensive artificial intelligence policy. Fiscal Committee: no WHEREAS, Today, only 15 percent of enterprises use artificial intelligence but 31 percent said artificial intelligence is on the agenda for adoption within the next 12 months; and WHEREAS, Seventy-seven percent of consumers use an artificial intelligence-powered service or device; and WHEREAS, One-half of the leading 10 artificial intelligence startups are companies located in the United States; and WHEREAS, Artificial intelligence is expected to have a dramatic impact on the United States workforce; and WHEREAS, A study conducted by the Pew Research Center of over 1,800 experts found that nearly one-half of the experts envision “a future in which robots and digital agents [will] have displaced significant numbers of both blue- and white-collar workers”; and WHEREAS, The federal government has a role in protecting the nation’s workforce by planning for the future changes that will be brought on by emerging artificial intelligence technologies; and WHEREAS, Over one dozen countries, including Canada, China, France, and the United Kingdom, are already developing a",https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200SJR6,en,
389,Illinois HB 0645,Illinois,United States,State governments,U.S. state and local documents,State/Local Law or Policy,2021-08-19,2021,8,positive,0.7793,low,0.0,232,0.7,Enacted,"AN ACT concerning State government. Be it enacted by the People of the State of Illinois, represented in the General Assembly: Section 1. Short title. This Act may be cited as the Illinois Future of Work Act. Section 5. Findings and declaration of policy. The General Assembly hereby finds, determines, and declares the following: (1) The future of work is a critically important conversation for those currently in the workforce as well as those looking to reenter or enter it as Illinois contemplates an equitable economic recovery from the coronavirus pandemic. (2) Policymakers at every level of government will be required to deal with the concurrent crises of the pandemic recovery, systemic inequities, and creating good-paying jobs. Policymakers must be able to anticipate the workforce policies and programs needed in the future to combat poverty, inequality, and climate change. (3) Rapid advancements in technology, specifically the automation of jobs and expanded artificial intelligence capability, have had and will continue to have a profound impact on the type, quality, and number of jobs available in our 21st century economy. (4) Automation and the rise of artificial intelligence and predictive analytics will have major impacts on industries and their jobs; from the service sector to white collar positions, the impacts will be felt by millions of workers in the United States. (5) Despite the opportunities and challenges presented by rapid advancements in technology, Illinois",https://www.ilga.gov/legislation/publicacts/fulltext.asp?Name=102-0407,en,"Strategies: New institution, Strategies: Government support: For R&D, Strategies: Government support, Strategies: Government support: AI workforce-related, Strategies: Disclosure"
390,New Jersey S 2723,New Jersey,United States,State governments,U.S. state and local documents,State/Local Law or Policy,2022-01-18,2022,1,positive,0.7351,low,0.0,219,0.5,Enacted,"CHAPTER 392 AN ACT concerning the modernization of State government websites, supplementing Title 52 of the Revised Statutes, and amending P.L.2007, c.56. BE IT ENACTED by the Senate and General Assembly of the State of New Jersey: C.52:18A-233.1 Short title. 1. This act shall be known and may be cited as the “21st Century Integrated Digital Experience Act.” C.52:18A-233.2 Findings and declarations. 1. The Legislature finds and declares that: a. Ensuring New Jersey’s global leadership position in technology and electronic government requires an approach that narrows the growing gap between the digital demands of citizens and the methods by which the government provides digital services to New Jersey. b. The enhancement of citizen-facing digital experiences can change the paradigm for the delivery of government services and dramatically reduce the cost of government operations. c. Many State websites are not equipped to provide an enhanced experience to the growing number of citizens who access government services through a mobile device. d. Government lags far behind the private sector in providing a modern, seamless, personalized, and consistent digital experience that provides useful information and services to citizens, businesses, and other stakeholders. e. The implementation of modern customer service experiences, such as citizen-centric design, comprehensive self-service capabilities, and uniform mobile rendering will be key to facilitating the transition to from an ana",https://pub.njleg.state.nj.us/Bills/2020/PL21/392_.PDF,en,
392,Virginia HB 2154,Virginia,United States,State governments,U.S. state and local documents,State/Local Law or Policy,2021-03-18,2021,3,positive,0.9753,low,0.0556,227,0.7,Enacted,"CHAPTER 219 An Act to amend and reenact § 32.1-127 of the Code of Virginia, relating to hospitals, nursing homes, and certified nursing facilities; regulations; patient access to intelligent personal assistant. Approved March 18, 2021 Be it enacted by the General Assembly of Virginia: 1. That § 32.1-127 of the Code of Virginia is amended and reenacted as follows: § 32.1-127. Regulations. A. The regulations promulgated by the Board to carry out the provisions of this article shall be in substantial conformity to the standards of health, hygiene, sanitation, construction and safety as established and recognized by medical and health care professionals and by specialists in matters of public health and safety, including health and safety standards established under provisions of Title XVIII and Title XIX of the Social Security Act, and to the provisions of Article 2 (§ 32.1-138 et seq.). B. Such regulations: 1. Shall include minimum standards for (i) the construction and maintenance of hospitals, nursing homes and certified nursing facilities to ensure the environmental protection and the life safety of its patients, employees, and the public; (ii) the operation, staffing and equipping of hospitals, nursing homes and certified nursing facilities; (iii) qualifications and training of staff of hospitals, nursing homes and certified nursing facilities, except those professionals licensed or certified by the Department of Health Professions; (iv) conditions under which a hospital or",https://lis.virginia.gov/cgi-bin/legp604.exe?212+ful+CHAP0219,en,"Applications: Medicine, life sciences and public health, Harms: Harm to health/safety"
394,Artificial Intelligence Bug Bounty Act of 2023,United States Congress,United States,Federal government,U.S. federal laws,Law/Act,2025-01-03,2025,1,positive,0.9836,low,0.1111,216,0.7,Defunct,"SECTION 1. SHORT TITLE. This Act may be cited as the “Artificial Intelligence Bug Bounty Act of 2023”. SEC. 2. ARTIFICIAL INTELLIGENCE BUG BOUNTY PROGRAMS. (a) Program For Foundational Artificial Intelligence Products Being Incorporated By Department Of Defense.— (1) DEVELOPMENT REQUIRED.—Not later than 180 days after the date of the enactment of this Act, the Chief Data and Artificial Intelligence Officer of the Department of Defense shall develop a bug bounty program for foundational artificial intelligence products being incorporated by the Department of Defense. (2) COLLABORATION.—In developing the program required by paragraph (1), the Chief may collaborate with the heads of other government agencies that have expertise in cybersecurity and artificial intelligence. (3) IMPLEMENTATION AUTHORIZED.—The Chief may carry out the program developed pursuant to subsection (a). (4) CONTRACTS.—The Secretary of Defense shall ensure that whenever the Department of Defense enters into any contract, the contract allows for participation in the bug bounty program developed pursuant to paragraph (1). (5) RULE OF CONSTRUCTION.—Nothing in this subsection shall be construed to require— (A) the use of any foundational artificial intelligence product; or (B) the implementation of the program developed pursuant to paragraph (1) in order for the Department to incorporate a foundational artificial intelligence product.(b) Briefing.—Not later than one year after the date of the enactment of this",https://www.congress.gov/bill/118th-congress/senate-bill/2502/text,en,"Strategies: Evaluation, Strategies: Government support, Strategies: Government support: For R&D, Risk factors: Reliability, Strategies: Evaluation: Adversarial testing, Risk factors: Reliability: Robustness, Strategies: Convening, Strategies: Disclosure, Strategies: Disclosure: About evaluation"
395,"Artificial Intelligence Research, Innovation, and Accountability Act of 2023",United States Congress,United States,Federal government,U.S. federal laws,Law/Act,2025-01-03,2025,1,positive,0.9922,low,0.3333,206,1.0,Defunct,"A BILL To provide a framework for artificial intelligence innovation and accountability, and for other purposes. Be it enacted by the Senate and House of Representatives of the United States of America in Congress assembled, SECTION 1. Short title. This Act may be cited as the “Artificial Intelligence Research, Innovation, and Accountability Act of 2023”. SEC. 2. Table of contents. The table of contents for this Act is as follows: Sec. 1. Short title. Sec. 2. Table of contents. TITLE I—ARTIFICIAL INTELLIGENCE RESEARCH AND INNOVATION Sec. 101. Open data policy amendments. Sec. 102. Online content authenticity and provenance standards research and development. Sec. 103. Standards for detection of emergent and anomalous behavior and AI-generated media. Sec. 104. Comptroller General study on barriers and best practices to usage of AI in government. TITLE II—ARTIFICIAL INTELLIGENCE ACCOUNTABILITY Sec. 201. Definitions. Sec. 202. Generative artificial intelligence transparency. Sec. 203. Transparency reports for high-impact artificial intelligence systems. Sec. 204. Recommendations to Federal agencies for risk management of high-impact artificial intelligence systems. Sec. 205. Office of Management and Budget oversight of recommendations to agencies. Sec. 206. Risk management assessment for critical-impact artificial intelligence systems. Sec. 207. Certification of critical-impact artificial intelligence systems. Sec. 208. Enforcement. Sec. 209. Artificial intelligence consumer edu",https://www.congress.gov/bill/118th-congress/senate-bill/3312,en,"Strategies: Government support: For R&D, Strategies: Pilots and testbeds, Strategies: Convening, Strategies: Government study or report, Strategies: Disclosure: In standard form, Risk factors: Interpretability and explainability, Applications: Government: military and public safety, Strategies: Evaluation, Strategies: Evaluation: Impact assessment, Risk factors: Security, Risk factors: Transparency, Strategies: Disclosure, Strategies: Disclosure: In deployment, Strategies: Disclosure: About inputs, Risk factors: Safety"
396,Artificial Intelligence Accountability Act,United States Congress,United States,Federal government,U.S. federal laws,Law/Act,2025-01-03,2025,1,positive,0.9925,low,0.1667,200,1.0,Defunct,"Be it enacted by the Senate and House of Representatives of the United States of America in Congress assembled,SECTION 1. SHORT TITLE. This Act may be cited as the ``Artificial Intelligence Accountability Act'' or the ``AI Accountability Act''.SEC. 2. STUDY ON ACCOUNTABILITY MEASURES FOR ARTIFICIAL INTELLIGENCE SYSTEMS.(a) Study.--The Assistant Secretary of Commerce for Communications and Information shall conduct a study on accountability measures for artificial intelligence systems, which shall include an analysis of the following: (1) How accountability measures are being incorporated into artificial intelligence systems used by communications networks (including telecommunications networks and social media platforms) and electromagnetic spectrum sharing applications. (2) How accountability measures for artificial intelligence systems can facilitate the closing of the digital divide and assist the promotion of digital inclusion in the United States. (3) How accountability measures may reduce risks related to artificial intelligence systems, including cybersecurity risks. (4) How the term ``trustworthy'' is used and defined in the context of artificial intelligence, including how the term may be applied in various contexts related to artificial intelligence. (5) The relationship, with respect to artificial intelligence, between the term ``trustworthy'' and other terms such as ``responsible'' and ``human-centric''.(b) Stakeholder Consultation.--In carrying out the study requ",https://www.congress.gov/bill/118th-congress/house-bill/3369/text?format=txt,en,"Strategies: Government study or report, Risk factors: Security, Risk factors: Security: Cybersecurity, Applications: Broadcasting and media production, Applications: Networking and telecommunications, Strategies: Convening, Strategies: Governance development, Strategies: Evaluation, Strategies: Evaluation: External auditing, Strategies: Licensing, registration, and certification, Strategies: Evaluation: Impact assessment, Strategies: Evaluation: Conformity assessment, Risk factors: Reliability, Strategies: Disclosure"
397,Federal Artificial Intelligence Risk Management Act of 2023,United States Congress,United States,Federal government,U.S. federal laws,Law/Act,2025-01-03,2025,1,positive,0.9364,low,0.2222,207,0.7,Defunct,"SECTION 1. SHORT TITLE. This Act may be cited as the “Federal Artificial Intelligence Risk Management Act of 2023”.SEC. 2. AGENCY USE OF ARTIFICIAL INTELLIGENCE. (a) Definitions.—In this section: (1) ADMINISTRATOR.—The term “Administrator” means the Administrator of Federal Procurement Policy. (2) AGENCY.—The term “agency” means any department, independent establishment, Government corporation, or other agency of the executive branch of the Federal Government. (3) ARTIFICIAL INTELLIGENCE.—The term “artificial intelligence” has the meaning given the term in section 5002 of the National Artificial Intelligence Initiative Act of 2020 (15 U.S.C. 9401). (4) DIRECTOR.—The term “Director” means the Director of the National Institute of Standards and Technology. (5) FRAMEWORK.—The term “framework” means document number NIST AI 100–1 of the National Institute of Standards and Technology entitled “Artificial Intelligence Risk Management Framework”, or any successor document. (6) PLAYBOOK.—The term “playbook” means the AI RMF Playbook developed by the National Institute of Standards and Technology. (7) PROFILE.—The term “profile” means an implementation of the artificial intelligence risk management functions, categories, and subcategories for a specific setting or application based on the requirements, risk tolerance, and resources of the framework user. (b) Requirements For Agency Use Of Artificial Intelligence.— (1) OMB GUIDANCE.—Not later than 180 days after the date on which the Di",https://www.congress.gov/bill/118th-congress/senate-bill/3205/text,en,"Risk factors: Safety, Risk factors: Security, Risk factors: Security: Cybersecurity, Strategies: Governance development, Risk factors: Transparency, Strategies: Evaluation, Strategies: Evaluation: External auditing, Strategies: Disclosure, Strategies: Disclosure: About inputs, Strategies: Government study or report, Strategies: Government support, Strategies: Government support: AI workforce-related, Strategies: Convening"
398,A bill to waive immunity under section 230 of the Communications Act of 1934 for claims and charges related to generative artificial intelligence.,United States Congress,United States,Federal government,U.S. federal laws,Law/Act,2025-01-03,2025,1,negative,-0.2808,low,0.0,232,0.7,Defunct,"S. 1993 To waive immunity under section 230 of the Communications Act of 1934 for claims and charges related to generative artificial intelligence. IN THE SENATE OF THE UNITED STATES June 14, 2023Mr. Hawley (for himself and Mr. Blumenthal) introduced the following bill; which was read twice and referred to the Committee on Commerce, Science, and Transportation A BILL To waive immunity under section 230 of the Communications Act of 1934 for claims and charges related to generative artificial intelligence.Be it enacted by the Senate and House of Representatives of the United States of America in Congress assembled, SECTION 1. NO SECTION 230 IMMUNITY FOR CLAIMS AND CHARGES RELATED TO GENERATIVE ARTIFICIAL INTELLIGENCE. Section 230 of the Communications Act of 1934 (47 U.S.C. 230) is amended— (1) in subsection (e), by adding at the end the following: “(6) NO EFFECT ON CLAIMS RELATED TO GENERATIVE ARTIFICIAL INTELLIGENCE.—Nothing in this section (other than subsection (c)(2)(A)) shall be construed to impair or limit any claim in a civil action or charge in a criminal prosecution brought under Federal or State law against the provider of an interactive computer service if the conduct underlying the claim or charge involves the use or provision of generative artificial intelligence by the interactive computer service.”; and (2) in subsection (f), by adding at the end the following: “(5) GENERATIVE ARTIFICIAL INTELLIGENCE.—The term ‘generative artificial intelligence’ means an artifi",https://www.congress.gov/bill/118th-congress/senate-bill/1993/text,en,
399,Artificial Intelligence Advancement Act of 2023,United States Congress,United States,Federal government,U.S. federal laws,Law/Act,2025-01-03,2025,1,positive,0.9883,low,0.1667,219,0.7,Defunct,"S. 3050 To require a report on artificial intelligence regulation in the financial services industry, to establish artificial intelligence bug bounty programs, to require a vulnerability analysis study for artificial intelligence-enabled military applications, and to require a report on data sharing and coordination, and for other purposes.IN THE SENATE OF THE UNITED STATES October 17, 2023 Mr. Rounds (for himself, Mr. Schumer, Mr. Young, and Mr. Heinrich) introduced the following bill; which was read twice and referred to the Committee on Armed Services A BILL To require a report on artificial intelligence regulation in the financial services industry, to establish artificial intelligence bug bounty programs, to require a vulnerability analysis study for artificial intelligence-enabled military applications, and to require a report on data sharing and coordination, and for other purposes.Be it enacted by the Senate and House of Representatives of the United States of America in Congress assembled, SECTION 1. SHORT TITLE. This Act may be cited as the “Artificial Intelligence Advancement Act of 2023”. SEC. 2. DEFINITIONS. In this Act: (1) CONGRESSIONAL DEFENSE COMMITTEES.—The term “congressional defense committees” has the meaning given such term in section 101 of title 10, United States Code. (2) FOUNDATIONAL ARTIFICIAL INTELLIGENCE MODEL.—The term “foundational artificial intelligence model” means an adaptive generative model that is trained on a broad set of unlabeled data",https://www.congress.gov/bill/118th-congress/senate-bill/3050/text,en,"Strategies: Government study or report, Strategies: New institution, Strategies: Evaluation, Applications: Government: military and public safety, Applications: Finance and investment, Strategies: Evaluation: Impact assessment, Applications: Government: other applications/unspecified, Risk factors: Security: Cybersecurity, Strategies: Evaluation: Adversarial testing, Strategies: Government support, Risk factors: Privacy, Risk factors: Security, Strategies: Evaluation: External auditing, Strategies: Convening"
